crop,baseline,no_weather,optimal,winner,best_WQL,worst_WQL,spread
apple,0.1624,0.1631,0.1653,baseline,0.1624,0.1653,0.0029
cabbage,0.1537,0.1522,0.1546,no_weather,0.1522,0.1546,0.0024
carrot,0.1084,0.109,0.1063,optimal,0.1063,0.109,0.0027
crown,0.1991,0.1993,0.2007,baseline,0.1991,0.2007,0.0016
cucumber,0.1231,0.1233,0.1275,baseline,0.1231,0.1275,0.0044
garlic,0.1378,0.1403,0.1426,baseline,0.1378,0.1426,0.0048
honewort,0.1768,0.1753,0.1832,no_weather,0.1753,0.1832,0.0079
napa,0.1528,0.1538,0.1534,baseline,0.1528,0.1538,0.001
onion,0.0639,0.0655,0.0659,baseline,0.0639,0.0659,0.002
perilla,0.1308,0.133,0.1452,baseline,0.1308,0.1452,0.0144
potato,0.095,0.0935,0.0966,no_weather,0.0935,0.0966,0.0031
spinach,0.1354,0.1347,0.1349,no_weather,0.1347,0.1354,0.0007
sweetpotato,0.0752,0.0759,0.0769,baseline,0.0752,0.0769,0.0017
